         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 numerictypes.py:1(<module>)
     12/1    0.000    0.000    0.015    0.015 artist.py:31(draw_wrapper)
      6/1    0.000    0.000    0.015    0.015 offsetbox.py:374(draw)
      566    0.000    0.000    0.015    0.000 utils.py:374(_text_width)
        1    0.000    0.000    0.015    0.015 Image.py:1(<module>)
      646    0.003    0.000    0.015    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.014    0.014 pyplot.py:524(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.014    0.005 pyplot.py:348(_get_backend_mod)
      6/1    0.000    0.000    0.014    0.014 pyplot.py:362(switch_backend)
     1530    0.002    0.000    0.014    0.000 path.py:413(iter_bezier)
   119087    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.014    0.014 _type_aliases.py:1(<module>)
      168    0.014    0.000    0.014    0.000 {method 'call' of '_tkinter.tkapp' objects}
     1554    0.002    0.000    0.014    0.000 patches.py:782(_convert_units)
       11    0.000    0.000    0.014    0.001 _docstring.py:79(__missing__)
       69    0.000    0.000    0.014    0.000 __init__.py:225(compile)
     1085    0.001    0.000    0.013    0.000 transforms.py:2425(transform_affine)
        1    0.000    0.000    0.013    0.013 py3k.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _base.py:3011(_update_title_position)
      218    0.008    0.000    0.013    0.000 artist.py:1450(<listcomp>)
        5    0.000    0.000    0.013    0.003 registry.py:308(load_backend_module)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
    84983    0.011    0.000    0.013    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.012    0.004 figure.py:1646(gca)
        1    0.000    0.000    0.012    0.012 figure.py:586(add_subplot)
        1    0.000    0.000    0.012    0.012 _base.py:564(__init__)
       16    0.000    0.000    0.012    0.001 axis.py:1590(_get_tick)
      694    0.004    0.000    0.012    0.000 inspect.py:2331(_signature_from_function)
        1    0.000    0.000    0.012    0.012 _backend_tk.py:455(__init__)
        1    0.000    0.000    0.012    0.012 backend_bases.py:2636(__init__)
        1    0.000    0.000    0.012    0.012 _backend_tk.py:598(__init__)
        1    0.000    0.000    0.012    0.012 geo.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
        1    0.000    0.000    0.012    0.012 axis.py:1(<module>)
     3174    0.001    0.000    0.012    0.000 transforms.py:1350(__add__)
    53/43    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.012    0.012 _axes.py:65(Axes)
    53/43    0.002    0.000    0.012    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.012    0.012 offsetbox.py:363(get_window_extent)
     5972    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    59334    0.008    0.000    0.011    0.000 utils.py:375(<genexpr>)
     1065    0.002    0.000    0.011    0.000 artist.py:1173(_update_props)
     6104    0.006    0.000    0.011    0.000 inspect.py:2669(__init__)
        9    0.000    0.000    0.011    0.001 axis.py:1641(get_major_ticks)
     9618    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        7    0.000    0.000    0.011    0.002 _backend_tk.py:803(_Button)
      979    0.001    0.000    0.011    0.000 __init__.py:715(__setitem__)
        2    0.000    0.000    0.011    0.005 core.py:206(read_style_directory)
       63    0.001    0.000    0.011    0.000 text.py:358(_get_layout)
     1021    0.000    0.000    0.011    0.000 artist.py:1209(_internal_update)
    25320    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     5992    0.011    0.000    0.011    0.000 {built-in method posix.stat}
      265    0.000    0.000    0.011    0.000 backend_agg.py:94(draw_path)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
        1    0.000    0.000    0.010    0.010 axis.py:1355(get_tightbbox)
     3174    0.002    0.000    0.010    0.000 transforms.py:2517(composite_transform_factory)
      190    0.000    0.000    0.010    0.000 std.py:457(print_status)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
      265    0.003    0.000    0.010    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      226    0.000    0.000    0.010    0.000 _compiler.py:573(_code)
      528    0.001    0.000    0.010    0.000 transforms.py:463(transformed)
     1422    0.001    0.000    0.010    0.000 transforms.py:814(from_extents)
        1    0.000    0.000    0.010    0.010 _base.py:1384(clear)
        1    0.000    0.000    0.010    0.010 _base.py:1257(__clear)
        1    0.000    0.000    0.010    0.010 linalg.py:1(<module>)
      439    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
       16    0.000    0.000    0.009    0.001 axis.py:65(__init__)
       37    0.000    0.000    0.009    0.000 text.py:918(get_window_extent)
     1275    0.005    0.000    0.009    0.000 bezier.py:208(__call__)
      447    0.000    0.000    0.009    0.000 artist.py:1536(number_of_parameters)
     4633    0.001    0.000    0.009    0.000 axis.py:1793(convert_units)
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
3684/3620    0.001    0.000    0.009    0.000 {built-in method builtins.next}
  397/327    0.000    0.000    0.009    0.000 typing.py:373(inner)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
     1275    0.006    0.000    0.008    0.000 bezier.py:199(__init__)
       94    0.001    0.000    0.008    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
      103    0.002    0.000    0.008    0.000 artist.py:170(<listcomp>)
     2646    0.003    0.000    0.008    0.000 transforms.py:2358(__init__)
     4633    0.002    0.000    0.008    0.000 units.py:56(_is_natively_supported)
       13    0.000    0.000    0.008    0.001 __init__.py:2635(__init__)
        1    0.000    0.000    0.008    0.008 image.py:1550(imsave)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
168901/167391    0.007    0.000    0.007    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.007    0.007 Image.py:2481(save)
2551/1276    0.001    0.000    0.007    0.000 transforms.py:2394(__eq__)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
     1692    0.002    0.000    0.007    0.000 colors.py:275(to_rgba)
      970    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
2295/1020    0.001    0.000    0.007    0.000 transforms.py:2401(_iter_break_from_left_to_right)
        1    0.000    0.000    0.007    0.007 backend_tkagg.py:1(<module>)
      269    0.001    0.000    0.007    0.000 transforms.py:1118(get_points)
 1195/226    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
     3447    0.001    0.000    0.007    0.000 artist.py:269(convert_xunits)
      767    0.000    0.000    0.007    0.000 transforms.py:239(__array__)
1598/1582    0.001    0.000    0.007    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.007    0.007 PngImagePlugin.py:1250(_save)
      126    0.000    0.000    0.007    0.000 text.py:65(_get_text_metrics_with_cache)
    94215    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 ImageFile.py:528(_save)
        1    0.000    0.000    0.007    0.007 ImageFile.py:556(_encode_tile)
      200    0.000    0.000    0.007    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
        8    0.007    0.001    0.007    0.001 {method 'encode' of 'ImagingEncoder' objects}
        9    0.000    0.000    0.007    0.001 axis.py:397(__init__)
        5    0.000    0.000    0.007    0.001 __init__.py:2706(__init__)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.007    0.007 multiarray.py:1(<module>)
    62138    0.007    0.000    0.007    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.007    0.003 common.py:1(<module>)
      430    0.006    0.000    0.006    0.000 _methods.py:67(_count_reduce_items)
38096/38087    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
